,ParasiteCheckedBinomial,Par.Phylum,Par.Class,a.host.infect.site,b.host.infect.site,length.min.mm,length.max.mm,width.min.um,width.max.um,male.length.min,male.length.max,male.width.min,male.width.max,female.length.min,female.length.max,female.width.min,female.width.max,juv.lenth.min.um,juv.length.max.um,juv.width.min.um,juv.width.max.um,infect.larvae.min.um,infect.larvae.max.um,egg.size.min,egg.size.max,Ref,doi.y,alyssa.notes
363,Nematodirus rupicaprae,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
364,Nematodirus spathiger,Nematoda,Chromadorea,small intestine,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,976,1130,181,230,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980. AND R.C. Anderson,NA,
365,Nematodirus tarandi,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
366,Neodiplostomum cratera,Platyhelminthes,Trematoda,intestine,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
367,Neostrongylus linearis,Nematoda,Chromadorea,bronchioles,lung parenchyma,5,17,28,49,5,8,28,49,13,17,NA,NA,240,240,NA,NA,NA,NA,96,96,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
368,Oculotrema hippopotami,Platyhelminthes,Monogenea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
369,Oesophagostomum africanum,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
370,Oesophagostomum columbianum,Nematoda,Chromadorea,large intestine,,12,18,230,400,12,16,230,400,14,18,300,350,300,350,NA,NA,NA,NA,74,88,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
371,Oesophagostomum dentatum,Nematoda,Chromadorea,large intestine,,8,14,200,400,8,10,200,300,11,14,400,500,1100,NA,NA,NA,NA,NA,60,80,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
372,Oesophagostomum mocambiquei,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
373,Oesophagostomum mwanzae,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
374,Oesophagostomum quadrispinulatum,Nematoda,Chromadorea,large intestine,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,645,650,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
375,Oesophagostomum radiatum,Nematoda,Chromadorea,large intestine,,14,22,300,400,14,17,300,400,16,22,300,400,400,430,NA,NA,820,820,70,76,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980. AND R. C. Anderson,NA,
376,Oesophagostomum venulosum,Nematoda,Chromadorea,large intestine,small intestine,11,24,300,600,11,16,300,400,13,24,500,600,899,899,NA,NA,NA,NA,85,105,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980. AND R.C. Anderson,NA,
377,Ollulanus tricuspis,Nematoda,Chromadorea,stomach,,700,1000,35,40,700,800,35,35,800,1000,40,40,400,400,NA,NA,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
378,Onchocerca cervipedis,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
379,Onchocerca dewittei,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
380,Onchocerca eberhardi,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
381,Onchocerca flexuosa,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
382,Onchocerca garmsi,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
383,Onchocerca gutturosa,Nematoda,Chromadorea,connective tissue,tibiofemoral ligament,28,550,72,400,28,55,72,105,400,550,200,400,170,265,4.2,4.5,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,synonym O. lienalis
384,Onchocerca jakutensis,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
385,Onchocerca lienalis,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
386,Onchocerca ramachandrini,Nematoda,Chromadorea,subcutaneous tissue,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,955,NA,NA,NA,NA,NA,NA,NA,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
387,Onchocerca skrjabini,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
388,Onchocerca suzukii,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
389,Oncicola canis,Acanthocephala,Archiacanthocephala,intestine,,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K.I. Skrjabin. Acanthocephala of Domestic and Wild Animals. 1987,NA,
390,Oncicola canis,Acanthocephala,Archiacanthocephala,intestine,,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,K.I. Skrjabin. Acanthocephala of Domestic and Wild Animals. 1986,NA,
391,Opisthorchis felineus,Platyhelminthes,Trematoda,bile ducts,gall bladder,8,18,1.2,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,30,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
392,Orthocoelium scoliocoelium,Platyhelminthes,Trematoda,stomach,,2.9,9.6,1.7,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130,165,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
393,Orthocoelium streptocoelium,Platyhelminthes,Trematoda,stomach,,5,11,1.65,3.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,115,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
394,Orthosplanchnus fraterculus,Platyhelminthes,Trematoda,gall bladder,intestine,3.3,4.5,0.5,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,91,100,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
395,Orthostrongylus macrotis,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
396,Oslerus osleri,Nematoda,Chromadorea,trachea,bronchi,4,7,NA,NA,4,7,NA,NA,NA,NA,NA,NA,237,267,NA,NA,NA,NA,80,80,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
397,Oslerus osleri,Nematoda,Chromadorea,trachea,bronchi,4,7,NA,NA,4,7,NA,NA,NA,NA,NA,NA,237,267,NA,NA,NA,NA,80,80,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,synonym F.  Osleri
398,Oslerus pararostratus,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
399,Oslerus rostratus,Nematoda,Chromadorea,lung parenchyma,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,320,NA,NA,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
400,Ostertagia arctica,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
401,Ostertagia dikmansi,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
402,Ostertagia drozdzi,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
403,Ostertagia gruehneri,Nematoda,Chromadorea,abomasum,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
404,Ostertagia hamata,Nematoda,Chromadorea,abomasum,,NA,NA,NA,NA,6.6,7.8,NA,NA,8,11,NA,NA,NA,NA,NA,NA,NA,NA,71,71,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
405,Ostertagia harrisi,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
406,Ostertagia kolchida,Nematoda,Chromadorea,abomasum,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
407,Ostertagia leptospicularis,Nematoda,Chromadorea,abomasum,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
408,Ostertagia lyrata,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
409,Ostertagia mossi,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
410,Ostertagia ostertagi,Nematoda,Chromadorea,abomasum,,6.5,9.2,NA,NA,6.5,7.5,NA,NA,8.3,9.2,NA,NA,300,500,NA,NA,NA,NA,74,90,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
411,Ostertagia trifurcata,Nematoda,Chromadorea,abomasum,,6.5,12.2,80,100,6.5,7,80,100,9.8,12.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
412,Ostertagia triquetra,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
413,Otostrongylus circumlitus,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
414,Oxynema crassispiculum,Nematoda,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
415,Oxyuris karamoja,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
416,Pachysentis canicola,Acanthocephala,Archiacanthocephala,intestine,,15,26,4000,5000,15,15,4000,4000,20,26,5000,5000,NA,NA,NA,NA,NA,NA,70,70,K.I. Skrjabin. Acanthocephala of Domestic and Wild Animals. 1986,NA,
417,Pachysentis canicola,Acanthocephala,Archiacanthocephala,intestine,,15,26,4000,5000,15,15,4000,4000,20,26,5000,5000,NA,NA,NA,NA,NA,NA,70,70,K.I. Skrjabin. Acanthocephala of Domestic and Wild Animals. 1987,NA,
418,Parabronema roundi,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
419,Parabronema skrjabini,Nematoda,Chromadorea,abomasum,,15,36,NA,NA,15,18,NA,NA,36,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980. AND R.C. Anderson,NA,
420,Parabronema skrjabini,Nematoda,Chromadorea,abomasum,,15,36,NA,NA,15,18,NA,NA,36,36,NA,NA,1780,1850,NA,NA,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980. AND R.C. Anderson,NA,
421,Paracooperia devossi,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
422,Paracooperia horaki,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
423,Paracooperia serrata,Nematoda,Chromadorea,small intestine,,6.9,10.3,NA,NA,6.9,7.8,NA,NA,8.8,10.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
424,Paracooperioides peleae,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
425,Parafasciolopsis fasciolaemorpha,Platyhelminthes,Trematoda,biliary ducts,,2.9,7.5,1.2,2.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,135,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
426,Parafilaria bassoni,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
427,Parafilaroides decorus,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
428,Parafilaroides gymnurus,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
429,Parafilaroides normani,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
430,Paragonimus kellicotti,Platyhelminthes,Trematoda,lungs,,3,20,2,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,97,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
431,Paragonimus ohirai,Platyhelminthes,Trematoda,lungs,,7.2,10.11,4.1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,87,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
432,Paragonimus rudis,Platyhelminthes,Trematoda,lungs,,12.72,12.7,6.936,6.936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67,71,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
433,Paragonimus westermani,Platyhelminthes,Trematoda,lungs,,7,16,4,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.4,100,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
434,Parallelorchis diglossus,Platyhelminthes,Trematoda,intestine,,2.54,3.4,1.09,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,89,115,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
435,Parametorchis complexus,Platyhelminthes,Trematoda,liver ,gall bladder,5,10,1.5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,24,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
436,Paramphistomum cervi,Platyhelminthes,Trematoda,stomach,intestine,3,12,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,126,156,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,bile ducts
437,Paramphistomum cotylophorum,Platyhelminthes,Trematoda,stomach,intestine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,bile ducts
438,Paramphistomum epiclitum,Platyhelminthes,Trematoda,stomach,intestine,5,9,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,155,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,bile ducts
439,Paramphistomum ichikawai,Platyhelminthes,Trematoda,stomach,intestine,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,bile ducts
440,Paramphistomum liorchis,Platyhelminthes,Trematoda,stomach,intestine,3,8,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115,125,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,bile ducts
441,Parascaris equorum,Nematoda,Chromadorea,small intestine,,15,50,3,8,15,28,3,6,18,50,8,8,NA,NA,NA,NA,NA,NA,90,100,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
442,Parelaphostrongylus andersoni,Nematoda,Chromadorea,blood vessels,muscles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,308,382,NA,NA,NA,NA,NA,NA,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
443,Parelaphostrongylus odocoilei,Nematoda,Chromadorea,skeletal muscles,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367.5,NA,NA,NA,NA,NA,NA,NA,,NA,
444,Parelaphostrongylus tenuis,Nematoda,Chromadorea,cranium,lungs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
445,Pearsonema mucronata,Nematoda,Enoplea,urinary bladder,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
446,Pelodera strongyloides,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
447,Phacochoerostrongylus hylochoeri,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
448,Phagicola angrense,Platyhelminthes,Trematoda,intestine,,0.46,0.79,0.25,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,24,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
449,Phagicola diminuta,Platyhelminthes,Trematoda,intestine,,0.25,0.35,0.077,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,20,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,P. diminutus
450,Phagicola longa,Platyhelminthes,Trematoda,intestine,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
451,Pharyngostomoides adenocephala,Platyhelminthes,Trematoda,intestine,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
452,Pharyngostomoides procyonis,Platyhelminthes,Trematoda,intestine,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
453,Phocanema decipiens,Nematoda,Chromadorea,stomach,,45.5,104.3,NA,NA,45.5,72.7,NA,NA,40.8,104.3,NA,NA,2360,3070,NA,NA,NA,NA,NA,NA,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
454,Phocascaris cystophorae,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
455,Phocascaris phocae,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
456,Phocitrema fusiforme,Platyhelminthes,Trematoda,intestine,,1.16,1.4,0.5,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,28,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
457,Phyllobothrium delphini,Platyhelminthes,Cestoda,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
458,Physaloptera maxillaris,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
459,Physaloptera praeputialis,Nematoda,Chromadorea,stomach,,13,58,700,1700,13,45,700,1300,15,58,1000,1700,340,340,NA,NA,NA,NA,45,58,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980. AND R.C. Anderson,NA,
460,Physaloptera rara,Nematoda,Chromadorea,stomach,duodenum,25,41,800,1100,25,29,800,800,27,41,900,1100,NA,NA,NA,NA,NA,NA,42,53,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
461,Physaloptera sibirica,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
462,Physocephalus sexalatus,Nematoda,Chromadorea,stomach,small intestine,6,22.5,300,450,6,13,300,300,10,22.5,330,450,NA,NA,NA,NA,NA,NA,31,39,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
463,Placoconus lotoris,Nematoda,Chromadorea,small intestine,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,273,358,NA,NA,578,653,68,76,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
464,Plagiorchis elegans,Platyhelminthes,Trematoda,intestine,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
465,Plagiorchis muris,Platyhelminthes,Trematoda,intestine,,0.8,2,0.24,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,36,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
466,Plagiorchis vespertilionis,Platyhelminthes,Trematoda,intestine,,1.53,9,0.4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,39,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
467,Plagiorhynchus cylindraceus,Acanthocephala,Palaeacanthocephala,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,75,D.W.T. Crompton and Brent B. Nikol. Biology of the Acanthocephala. 1985,NA,
468,Plagiorhynchus cylindraceus,Acanthocephala,Palaeacanthocephala,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
469,Plagiorhynchus ogatai,Acanthocephala,Palaeacanthocephala,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
470,Pneumostrongylus calcaratus,Nematoda,Chromadorea,lungs,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,604,789,NA,NA,NA,NA,NA,NA,R.C. Anderson. Nematode Parasites of Vertebrates: Their development and transmission. 2000.,NA,
471,Polymorphus cetaceum,Acanthocephala,Palaeacanthocephala,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
472,Polymorphus meyeri,Acanthocephala,Palaeacanthocephala,intestine,,7,14,1000,2800,7,10,1000,1800,12,14,2000,2800,NA,NA,NA,NA,NA,NA,96,108,K.I. Skrjabin. Acanthocephala of Domestic and Wild Animals. 1986,NA,
473,Porrorchis leibyi,Acanthocephala,Palaeacanthocephala,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
474,Porrorchis oti,Acanthocephala,Palaeacanthocephala,small intestine,,51,62,2500,2800,NA,NA,NA,NA,51,62,2500,2800,4850,4850,1200,1200,NA,NA,NA,NA,K.I. Skrjabin. Acanthocephala of Domestic and Wild Animals. 1986,NA,
475,Pricetrema zolophi,Platyhelminthes,Trematoda,intestine,,0.435,0.435,0.215,0.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33,33,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
476,Probstmayria vivipara,Nematoda,Chromadorea,colon,,2,3,NA,NA,2,2,NA,NA,3,3,NA,NA,180,180,NA,NA,NA,NA,NA,NA,Norman Levine. Nematode Parasites of Domestic Animals and Man. 1980.,NA,
477,Procyonostrongylus muelleri,Nematoda,Chromadorea,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
478,Procyotrema marsupiformis,Platyhelminthes,Trematoda,pancreatic duct,,9.32,16.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,105,126,Satyu Yamaguti. Synosis of Digenetic Trematodes of Vertebrates. 1971.,NA,
479,Profilicollis botulus,Acanthocephala,Palaeacanthocephala,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,
